ts,agent_id,cam0x,cam0y,cam1x,cam1y,cam2x,cam2y,cam3x,cam3y,world0x,world0y,world1x,world1y,world2x,world2y,world3x,world3y
1507220402,0,128.4823760986328,114.64447784423828,128.3340606689453,95.80781555175781,128.30593872070312,88.88240051269531,128.21543884277344,85.09465789794922,0.013368220999836922,3.5020289421081543,0.01658274605870247,6.589301109313965,0.021416617557406425,9.45641803741455,0.019443770870566368,12.307472229003906
1532220402,0,128.5149688720703,114.84405517578125,128.25729370117188,95.72234344482422,128.21890258789062,88.65538024902344,128.12857055664062,84.79290008544922,0.014204993844032288,3.4838526248931885,0.012818057090044022,6.614483833312988,0.015532701276242733,9.590765953063965,0.011877448298037052,12.607213973999023
1557220403,0,128.57962036132812,114.22129821777344,128.20184326171875,95.18647766113281,128.195068359375,88.0734634399414,128.1726837158203,84.20904541015625,0.016224177554249763,3.5411386489868164,0.010287980549037457,6.776596546173096,0.014342604205012321,9.95246696472168,0.016715535894036293,13.229238510131836
1582220403,0,128.5769805908203,114.34642028808594,128.202392578125,95.19691467285156,128.1759796142578,88.04481506347656,128.12716674804688,84.17058563232422,0.016102569177746773,3.529493808746338,0.010311337187886238,6.773367404937744,0.012962186709046364,9.970951080322266,0.012348458170890808,13.272308349609375
1607220403,0,128.6649169921875,114.46902465820312,128.3097381591797,95.24244689941406,128.27919006347656,88.06414031982422,128.21493530273438,84.18804168701172,0.018503153696656227,3.5181493759155273,0.015749381855130196,6.75931453704834,0.020539652556180954,9.958475112915039,0.020841283723711967,13.252726554870605
1632220404,0,128.69683837890625,114.5696029663086,128.3653564453125,95.24632263183594,128.35374450683594,88.047607421875,128.3103790283203,84.16387176513672,0.019345641136169434,3.508892297744751,0.01857433095574379,6.758121013641357,0.026051338762044907,9.969146728515625,0.03015582263469696,13.279854774475098
1657220404,0,128.55661010742188,114.47193908691406,128.26991271972656,95.21575164794922,128.2462158203125,88.0437240600586,128.1984405517578,84.16964721679688,0.01548815332353115,3.51788067817688,0.013740142807364464,6.767546653747559,0.018136831000447273,9.971656799316406,0.019270947203040123,13.273362159729004
1682220404,0,128.6474151611328,114.61799621582031,128.3706512451172,95.28618621826172,128.34593200683594,88.0885009765625,128.2969207763672,84.20526885986328,0.017953142523765564,3.504453659057617,0.01881125383079052,6.745866775512695,0.02541123703122139,9.942790985107422,0.028750399127602577,13.2334566116333
1707220405,0,128.62660217285156,114.79016876220703,128.3137969970703,95.34102630615234,128.27879333496094,88.11328887939453,128.22854614257812,84.21627807617188,0.017306072637438774,3.488743543624878,0.015888376161456108,6.7290778160095215,0.020447906106710434,9.9268798828125,0.02210984192788601,13.221170425415039
1732220405,0,128.59161376953125,114.85369873046875,128.26890563964844,95.35498046875,128.2318115234375,88.10874938964844,128.17831420898438,84.20761108398438,0.016315508633852005,3.482978582382202,0.013607272878289223,6.724818706512451,0.017006849870085716,9.929790496826172,0.017262589186429977,13.230840682983398
1757220406,0,128.51873779296875,114.80537414550781,128.2123260498047,95.34527587890625,128.17776489257812,88.10301971435547,128.12411499023438,84.20201110839844,0.01432188693434,3.4873621463775635,0.010748674161732197,6.727779865264893,0.013046358712017536,9.933465957641602,0.0120210787281394,13.237095832824707
1782220406,0,128.52542114257812,114.80740356445312,128.2299041748047,95.34828186035156,128.19273376464844,88.10478973388672,128.13525390625,84.20160675048828,0.0145057188346982,3.487177610397339,0.011637041345238686,6.72686243057251,0.014143386855721474,9.932330131530762,0.013100366108119488,13.237547874450684
1807220406,0,128.46556091308594,114.73827362060547,128.20944213867188,95.31620025634766,128.17538452148438,88.08204650878906,128.11793518066406,84.1820068359375,0.01287390198558569,3.4934654235839844,0.01061590202152729,6.736668109893799,0.012888448312878609,9.946942329406738,0.01144129503518343,13.259490013122559
1832220407,0,128.45814514160156,114.74071502685547,128.19354248046875,95.31558227539062,128.15591430664062,88.0794677734375,128.09542846679688,84.17747497558594,0.012668113224208355,3.4932429790496826,0.00981026329100132,6.7368574142456055,0.011459480971097946,9.948601722717285,0.009261286817491055,13.264573097229004
1857220407,0,128.4114990234375,114.68107604980469,128.19796752929688,95.27803802490234,128.1671142578125,88.04711151123047,128.1063232421875,84.14865112304688,0.011394206434488297,3.498683214187622,0.010050744749605656,6.748368740081787,0.0123074259608984,9.969467163085938,0.010343101806938648,13.296993255615234
1882220407,0,128.38900756835938,114.6751708984375,128.2010498046875,95.27203369140625,128.17149353027344,88.03910064697266,128.10621643066406,84.14319610595703,0.010772920213639736,3.49922251701355,0.010209864005446434,6.750212669372559,0.012636255472898483,9.97464656829834,0.010337352752685547,13.303146362304688
1907220408,0,128.38772583007812,114.68875122070312,128.18727111816406,95.26866149902344,128.1570587158203,88.03182220458984,128.0938720703125,84.13656616210938,0.010734008625149727,3.4979820251464844,0.009511522948741913,6.751248836517334,0.011577900499105453,9.97935676574707,0.00914094690233469,13.310632705688477
1932220408,0,128.3628387451172,114.60379028320312,128.1921844482422,95.2369613647461,128.1627655029297,88.01356506347656,128.09825134277344,84.12081146240234,0.010065052658319473,3.5057554244995117,0.009774386882781982,6.761004447937012,0.012012267485260963,9.991189956665039,0.009579822421073914,13.32845401763916
1957220409,0,128.35557556152344,114.55909729003906,128.2152862548828,95.21863555908203,128.1855926513672,88.0000228881836,128.11289978027344,84.11309814453125,0.009873932227492332,3.509857177734375,0.010957974009215832,6.766656875610352,0.013708527199923992,9.999984741210938,0.011015101335942745,13.33719539642334
