scenario_num,scenario_type,scenario_type_intensity,collisions_vehicle,collisions_layout,outside_route_lanes,outside_route_lanes_average,meta_duration_game,meta_duration_system,meta_route_length,scores_score_composed,scores_score_penalty,scores_score_route,status
106,rain,9,,Agent collided against object with type=static.wall and id=0 at (x=182.423  y=-51.286  z=0.15),Agent went outside its route lanes for about 10.0 meters (28.48% of the completed route),28.48,9.950000148266554,143.45969486236572,131.55983352661133,12.458543037747427,0.46490984958548054,26.797761004322926,Failed
105,shade,6,,,,0.0,16.20000024139881,171.56026244163513,131.55983352661133,45.111606044332696,1.0,45.111606044332696,Failed
108,rain,5,,Agent collided against object with type=static.wall and id=0 at (x=182.752  y=-64.905  z=0.147),Agent went outside its route lanes for about 6.0 meters (28.41% of the completed route),28.41,7.575000112876296,94.97278714179993,131.55983352661133,7.498541511376667,0.4653235508063713,16.114682995052043,Failed
106,shade,2,,,,0.0,15.550000231713057,171.86973214149475,131.55983352661133,42.82237487990704,1.0,42.82237487990704,Failed
106,rain,6,,Agent collided against object with type=static.wall and id=0 at (x=182.876  y=-67.777  z=0.137),Agent went outside its route lanes for about 5.0 meters (27.6% of the completed route),27.6,6.900000102818012,93.06700444221497,131.55983352661133,6.506542010240724,0.47062052122348025,13.825453240597234,Failed
103,rain,3,,,Agent went outside its route lanes for about 9.0 meters (18.7% of the completed route),18.7,13.325000198557973,171.82446813583374,131.55983352661133,29.850064523654314,0.8129598589227635,36.71775942690212,Failed
103,shade,6,,,,0.0,16.125000240281224,171.62555646896362,131.55983352661133,45.111606044332696,1.0,45.111606044332696,Failed
110,haze,6,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.485  y=-69.014  z=0.035),,,0.0,5.125000076368451,57.05460977554321,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
102,haze,2,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.448  y=-69.005  z=0.035),,,0.0,5.250000078231096,64.52035307884216,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
109,shade,5,,,,0.0,16.175000241026282,171.81370186805725,131.55983352661133,45.111606044332696,1.0,45.111606044332696,Failed
110,shade,0,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=191.82  y=-69.085  z=0.033),,,0.0,5.225000077858567,65.87177062034607,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
107,haze,0,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.45  y=-69.008  z=0.035),,,0.0,5.325000079348683,67.18587708473206,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
107,rain,0,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.41  y=-69.008  z=0.035),,,0.0,5.325000079348683,67.3090090751648,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
110,haze,4,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.458  y=-69.087  z=0.035),,,0.0,5.15000007674098,55.32350993156433,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
103,rain,1,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.333  y=-68.997  z=0.035),,,0.0,5.275000078603625,70.0736174583435,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
