scenario_num,scenario_type,scenario_type_intensity,collisions_vehicle,collisions_layout,outside_route_lanes,outside_route_lanes_average,meta_duration_game,meta_duration_system,meta_route_length,scores_score_composed,scores_score_penalty,scores_score_route,status
108,haze,9,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.453  y=-69.134  z=0.035),,,0.0,5.050000075250864,58.50191068649292,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
102,haze,1,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.442  y=-69.005  z=0.035),,,0.0,5.250000078231096,57.69066548347473,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
106,rain,1,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.334  y=-68.997  z=0.035),,,0.0,5.275000078603625,58.04488658905029,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
103,haze,9,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.441  y=-69.111  z=0.035),,,0.0,5.050000075250864,55.9662663936615,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
107,haze,6,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.487  y=-69.014  z=0.035),,,0.0,5.125000076368451,56.10423183441162,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
107,rain,3,,,Agent went outside its route lanes for about 6.0 meters (11.74% of the completed route),11.74,14.325000213459134,172.14494919776917,131.55983352661133,34.42852662509097,0.8826244972756031,39.00699191033276,Failed
103,rain,8,,Agent collided against object with type=static.wall and id=0 at (x=182.837  y=-62.231  z=0.143),Agent went outside its route lanes for about 4.0 meters (17.3% of the completed route),17.3,8.350000124424696,118.6933753490448,131.55983352661133,9.482544445647887,0.5375337275780814,17.640836210171514,Failed
106,rain,8,,Agent collided against object with type=static.wall and id=0 at (x=182.863  y=-62.167  z=0.143),Agent went outside its route lanes for about 5.0 meters (20.73% of the completed route),20.73,8.375000124797225,113.0467541217804,131.55983352661133,9.48254444564789,0.5152461096025344,18.403912749506855,Failed
102,shade,4,,,,0.0,16.2750002425164,172.22713828086853,131.55983352661133,45.87468258366803,1.0,45.87468258366803,Failed
105,shade,8,,,,0.0,16.350000243633986,172.04072785377502,131.55983352661133,45.111606044332696,1.0,45.111606044332696,Failed
105,shade,9,,,,0.0,16.375000244006515,171.92585349082947,131.55983352661133,45.87468258366803,1.0,45.87468258366803,Failed
108,shade,6,,,,0.0,16.00000023841858,172.090430021286,131.55983352661133,44.34852809502651,1.0,44.34852809502651,Failed
109,haze,8,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.402  y=-69.057  z=0.035),,,0.0,5.075000075623393,57.201393365859985,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
108,shade,8,,,,0.0,16.20000024139881,172.05169343948364,131.55983352661133,44.34852809502651,1.0,44.34852809502651,Failed
105,haze,2,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.45  y=-69.024  z=0.035),,,0.0,5.200000077486038,55.4621217250824,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
103,haze,2,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.448  y=-69.005  z=0.035),,,0.0,5.250000078231096,55.861923933029175,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
107,shade,3,,,,0.0,16.325000243261456,172.0905797481537,131.55983352661133,45.87468258366803,1.0,45.87468258366803,Failed
105,rain,8,,Agent collided against object with type=static.wall and id=0 at (x=182.82  y=-61.805  z=0.145),Agent went outside its route lanes for about 5.0 meters (20.73% of the completed route),20.73,8.475000126287341,116.41152000427246,131.55983352661133,9.48254444564789,0.5152461096025344,18.403912749506855,Failed
102,haze,5,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.478  y=-69.057  z=0.035),,,0.0,5.125000076368451,56.459831953048706,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
108,haze,5,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.477  y=-69.055  z=0.035),,,0.0,5.125000076368451,56.859843492507935,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
108,shade,1,,,,0.0,14.275000212714076,171.67355751991272,131.55983352661133,38.2439125055728,1.0,38.2439125055728,Failed
107,rain,1,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.333  y=-68.997  z=0.035),,,0.0,5.275000078603625,58.37106108665466,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
106,haze,4,Agent collided against object with type=vehicle.tesla.model3 and id=201 at (x=192.459  y=-69.086  z=0.035),,,0.0,5.15000007674098,57.4351646900177,131.55983352661133,7.837426020757137,0.6,13.062376701261895,Failed
106,shade,5,,,,0.0,16.375000244006515,171.91696882247925,131.55983352661133,45.87468258366803,1.0,45.87468258366803,Failed
105,rain,5,,Agent collided against object with type=static.wall and id=0 at (x=182.756  y=-64.961  z=0.147),Agent went outside its route lanes for about 6.0 meters (28.41% of the completed route),28.41,7.575000112876296,97.458749294281,131.55983352661133,7.498541511376667,0.4653235508063713,16.114682995052043,Failed
104,shade,4,,,,0.0,16.350000243633986,172.00081324577332,131.55983352661133,45.87468258366803,1.0,45.87468258366803,Failed
104,shade,1,,,,0.0,14.100000210106373,171.97227239608765,131.55983352661133,37.480835966237464,1.0,37.480835966237464,Failed
100,shade,6,,,,0.0,16.425000244751573,172.18399953842163,131.55983352661133,45.87468258366803,1.0,45.87468258366803,Failed
